帧号,时间戳秒（约）,页面,页内状态,帧段说明
466,15.500,运维管理,透视过渡,恢复透明材质并旋转
467,15.533,运维管理,透视过渡,恢复透明材质并旋转
468,15.567,运维管理,透视过渡,恢复透明材质并旋转
469,15.600,运维管理,透视过渡,恢复透明材质并旋转
470,15.633,运维管理,透视过渡,恢复透明材质并旋转
471,15.667,运维管理,透视过渡,恢复透明材质并旋转
472,15.700,运维管理,透视过渡,恢复透明材质并旋转
473,15.733,运维管理,透视过渡,恢复透明材质并旋转
474,15.767,运维管理,透视过渡,恢复透明材质并旋转
475,15.800,运维管理,透视过渡,恢复透明材质并旋转
476,15.833,运维管理,透视过渡,恢复透明材质并旋转
477,15.867,运维管理,透视过渡,恢复透明材质并旋转
478,15.900,运维管理,透视过渡,恢复透明材质并旋转
479,15.933,运维管理,透视过渡,恢复透明材质并旋转
480,15.967,运维管理,透视过渡,恢复透明材质并旋转
481,16.000,运维管理,透视过渡,恢复透明材质并旋转
482,16.033,运维管理,透视过渡,恢复透明材质并旋转
483,16.067,运维管理,透视过渡,恢复透明材质并旋转
484,16.100,运维管理,透视过渡,恢复透明材质并旋转
485,16.133,运维管理,透视过渡,恢复透明材质并旋转
486,16.167,运维管理,透视过渡,恢复透明材质并旋转
487,16.200,运维管理,透视过渡,恢复透明材质并旋转
488,16.233,运维管理,透视过渡,恢复透明材质并旋转
489,16.267,运维管理,线框或动画强调,叶片出现多重线迹
490,16.300,运维管理,线框或动画强调,叶片出现多重线迹
491,16.333,运维管理,线框或动画强调,叶片出现多重线迹
492,16.367,运维管理,线框或动画强调,叶片出现多重线迹
493,16.400,运维管理,线框或动画强调,叶片出现多重线迹
494,16.433,运维管理,线框或动画强调,叶片出现多重线迹
495,16.467,运维管理,线框或动画强调,叶片出现多重线迹
496,16.500,运维管理,线框或动画强调,叶片出现多重线迹
497,16.533,运维管理,线框或动画强调,叶片出现多重线迹
498,16.567,运维管理,线框或动画强调,叶片出现多重线迹
499,16.600,运维管理,线框或动画强调,叶片出现多重线迹
500,16.633,运维管理,线框或动画强调,叶片出现多重线迹
501,16.667,运维管理,线框或动画强调,叶片出现多重线迹
502,16.700,运维管理,线框或动画强调,叶片出现多重线迹
503,16.733,运维管理,线框或动画强调,叶片出现多重线迹
504,16.767,运维管理,线框或动画强调,叶片出现多重线迹
505,16.800,运维管理,线框或动画强调,叶片出现多重线迹
506,16.833,运维管理,线框或动画强调,叶片出现多重线迹
507,16.867,运维管理,线框或动画强调,叶片出现多重线迹
508,16.900,运维管理,线框或动画强调,叶片出现多重线迹
509,16.933,运维管理,线框或动画强调,叶片出现多重线迹
510,16.967,运维管理,线框或动画强调,叶片出现多重线迹
511,17.000,运维管理,线框或动画强调,叶片出现多重线迹
512,17.033,运维管理,线框或动画强调,叶片出现多重线迹
513,17.067,运维管理,线框或动画强调,叶片出现多重线迹
514,17.100,运维管理,线框或动画强调,叶片出现多重线迹
515,17.133,运维管理,线框或动画强调,叶片出现多重线迹
516,17.167,运维管理,线框或动画强调,叶片出现多重线迹
517,17.200,运维管理,线框或动画强调,叶片出现多重线迹
518,17.233,运维管理,线框或动画强调,叶片出现多重线迹
519,17.267,运维管理,线框或动画强调,叶片出现多重线迹
520,17.300,运维管理,线框或动画强调,叶片出现多重线迹
521,17.333,运维管理,线框或动画强调,叶片出现多重线迹
522,17.367,运维管理,线框或动画强调,叶片出现多重线迹
523,17.400,运维管理,线框或动画强调,叶片出现多重线迹
524,17.433,运维管理,线框或动画强调,叶片出现多重线迹
525,17.467,运维管理,线框或动画强调,叶片出现多重线迹
526,17.500,运维管理,线框或动画强调,叶片出现多重线迹
527,17.533,运维管理,线框或动画强调,叶片出现多重线迹
528,17.567,运维管理,线框或动画强调,叶片出现多重线迹
529,17.600,运维管理,线框或动画强调,叶片出现多重线迹
530,17.633,运维管理,线框或动画强调,叶片出现多重线迹
531,17.667,运维管理,结构,爆炸拆解
532,17.700,运维管理,结构,爆炸拆解
533,17.733,运维管理,结构,爆炸拆解
534,17.767,运维管理,结构,爆炸拆解
535,17.800,运维管理,结构,爆炸拆解
536,17.833,运维管理,结构,爆炸拆解
537,17.867,运维管理,结构,爆炸拆解
538,17.900,运维管理,结构,爆炸拆解
539,17.933,运维管理,结构,爆炸拆解
540,17.967,运维管理,结构,爆炸拆解
541,18.000,运维管理,结构,爆炸拆解
542,18.033,运维管理,结构,爆炸拆解
543,18.067,运维管理,结构,爆炸拆解
544,18.100,运维管理,结构,爆炸拆解
545,18.133,运维管理,结构,爆炸拆解
546,18.167,运维管理,结构,爆炸拆解
547,18.200,运维管理,结构,爆炸拆解
548,18.233,运维管理,结构,爆炸拆解
549,18.267,运维管理,结构,爆炸拆解
550,18.300,运维管理,结构,爆炸拆解
551,18.333,运维管理,结构,爆炸拆解
552,18.367,运维管理,结构,爆炸拆解
553,18.400,运维管理,结构,爆炸拆解
554,18.433,运维管理,结构,爆炸拆解
555,18.467,运维管理,零件弹窗,零件1故障信息
556,18.500,运维管理,零件弹窗,零件1故障信息
557,18.533,运维管理,零件弹窗,零件1故障信息
558,18.567,运维管理,零件弹窗,零件1故障信息
559,18.600,运维管理,零件弹窗,零件1故障信息
560,18.633,运维管理,零件弹窗,零件1故障信息
561,18.667,运维管理,零件弹窗,零件1故障信息
562,18.700,运维管理,零件弹窗,零件1故障信息
563,18.733,运维管理,零件弹窗,零件1故障信息
564,18.767,运维管理,零件弹窗,零件1故障信息
565,18.800,运维管理,零件弹窗,零件1故障信息
566,18.833,运维管理,零件弹窗,零件1故障信息
567,18.867,运维管理,零件弹窗,零件1故障信息
568,18.900,运维管理,零件弹窗,零件1故障信息
569,18.933,运维管理,零件弹窗,零件1故障信息
570,18.967,运维管理,结构,关闭弹窗保持拆解
571,19.000,运维管理,结构,关闭弹窗保持拆解
572,19.033,运维管理,结构,关闭弹窗保持拆解
573,19.067,运维管理,结构,关闭弹窗保持拆解
574,19.100,运维管理,结构,关闭弹窗保持拆解
575,19.133,运维管理,结构,关闭弹窗保持拆解
576,19.167,运维管理,结构,关闭弹窗保持拆解
577,19.200,运维管理,结构,关闭弹窗保持拆解
578,19.233,运维管理,结构,关闭弹窗保持拆解
579,19.267,运维管理,结构,关闭弹窗保持拆解
580,19.300,运维管理,结构,关闭弹窗保持拆解
581,19.333,运维管理,结构,关闭弹窗保持拆解
582,19.367,运维管理,结构,关闭弹窗保持拆解
583,19.400,运维管理,结构,关闭弹窗保持拆解
584,19.433,运维管理,结构,关闭弹窗保持拆解
585,19.467,运维管理,结构,关闭弹窗保持拆解
586,19.500,运维管理,结构,关闭弹窗保持拆解
587,19.533,运维管理,透视,模型重组后持续旋转
588,19.567,运维管理,透视,模型重组后持续旋转
589,19.600,运维管理,透视,模型重组后持续旋转
590,19.633,运维管理,透视,模型重组后持续旋转
591,19.667,运维管理,透视,模型重组后持续旋转
592,19.700,运维管理,透视,模型重组后持续旋转
593,19.733,运维管理,透视,模型重组后持续旋转
594,19.767,运维管理,透视,模型重组后持续旋转
595,19.800,运维管理,透视,模型重组后持续旋转
596,19.833,运维管理,透视,模型重组后持续旋转
597,19.867,运维管理,透视,模型重组后持续旋转
598,19.900,运维管理,透视,模型重组后持续旋转
599,19.933,运维管理,透视,模型重组后持续旋转
600,19.967,运维管理,透视,模型重组后持续旋转
601,20.000,运维管理,透视,模型重组后持续旋转
602,20.033,运维管理,透视,模型重组后持续旋转
603,20.067,运维管理,透视,模型重组后持续旋转
604,20.100,运维管理,透视,模型重组后持续旋转
605,20.133,运维管理,透视,模型重组后持续旋转
606,20.167,运维管理,透视,模型重组后持续旋转
607,20.200,运维管理,透视,模型重组后持续旋转
608,20.233,运维管理,透视,模型重组后持续旋转
609,20.267,运维管理,透视,模型重组后持续旋转
610,20.300,运维管理,透视,模型重组后持续旋转
611,20.333,运维管理,透视,模型重组后持续旋转
612,20.367,运维管理,透视,模型重组后持续旋转
613,20.400,运维管理,透视,模型重组后持续旋转
614,20.433,运维管理,透视,模型重组后持续旋转
615,20.467,运维管理,透视,模型重组后持续旋转
616,20.500,运维管理,透视,模型重组后持续旋转
617,20.533,运维管理,透视,模型重组后持续旋转
618,20.567,运维管理,透视,模型重组后持续旋转
619,20.600,运维管理,透视,模型重组后持续旋转
620,20.633,运维管理,透视,模型重组后持续旋转
621,20.667,运维管理,透视,模型重组后持续旋转
622,20.700,运维管理,透视,模型重组后持续旋转
623,20.733,运维管理,透视,模型重组后持续旋转
624,20.767,运维管理,透视,模型重组后持续旋转
625,20.800,运维管理,透视,模型重组后持续旋转
626,20.833,运维管理,透视,模型重组后持续旋转
627,20.867,运维管理,透视,模型重组后持续旋转
628,20.900,运维管理,透视,模型重组后持续旋转
629,20.933,运维管理,透视,模型重组后持续旋转
630,20.967,运维管理,透视,模型重组后持续旋转
631,21.000,运维管理,透视,模型重组后持续旋转
632,21.033,运维管理,透视,模型重组后持续旋转
633,21.067,运维管理,透视,模型重组后持续旋转
634,21.100,运维管理,透视,模型重组后持续旋转
635,21.133,运维管理,透视,模型重组后持续旋转
636,21.167,运维管理,透视,模型重组后持续旋转
637,21.200,运维管理,透视,模型重组后持续旋转
638,21.233,运维管理,透视,模型重组后持续旋转
639,21.267,运维管理,透视,模型重组后持续旋转
640,21.300,运维管理,透视,模型重组后持续旋转
641,21.333,运维管理,透视,模型重组后持续旋转
642,21.367,运维管理,透视,模型重组后持续旋转
643,21.400,运维管理,透视,模型重组后持续旋转
644,21.433,运维管理,透视,模型重组后持续旋转
645,21.467,运维管理,透视,模型重组后持续旋转
646,21.500,运维管理,透视,模型重组后持续旋转
647,21.533,运维管理,透视,模型重组后持续旋转
648,21.567,运维管理,透视,模型重组后持续旋转
649,21.600,运维管理,透视,模型重组后持续旋转
650,21.633,运维管理,透视,模型重组后持续旋转
651,21.667,运维管理,透视,模型重组后持续旋转
652,21.700,运维管理,透视,模型重组后持续旋转
653,21.733,运维管理,透视,模型重组后持续旋转
654,21.767,运维管理,透视,模型重组后持续旋转
655,21.800,运维管理,透视,模型重组后持续旋转
656,21.833,运维管理,透视,模型重组后持续旋转
657,21.867,运维管理,透视,模型重组后持续旋转
658,21.900,运维管理,透视,模型重组后持续旋转
659,21.933,运维管理,透视,模型重组后持续旋转
660,21.967,运维管理,透视,模型重组后持续旋转
661,22.000,运维管理,透视,模型重组后持续旋转
662,22.033,运维管理,透视,模型重组后持续旋转
663,22.067,运维管理,透视,模型重组后持续旋转
664,22.100,运维管理,透视,模型重组后持续旋转
665,22.133,运维管理,透视,模型重组后持续旋转
666,22.167,运维管理,透视,模型重组后持续旋转
667,22.200,运维管理,透视,模型重组后持续旋转
668,22.233,运维管理,透视,模型重组后持续旋转
669,22.267,运维管理,透视,模型重组后持续旋转
670,22.300,运维管理,透视,模型重组后持续旋转
671,22.333,运维管理,透视,模型重组后持续旋转
672,22.367,运维管理,透视,模型重组后持续旋转
673,22.400,运维管理,透视,模型重组后持续旋转
674,22.433,运维管理,透视,模型重组后持续旋转
675,22.467,运维管理,透视,模型重组后持续旋转
676,22.500,运维管理,透视,模型重组后持续旋转
677,22.533,运维管理,透视,模型重组后持续旋转
678,22.567,运维管理,透视,模型重组后持续旋转
679,22.600,运维管理,透视,模型重组后持续旋转
680,22.633,运维管理,透视,模型重组后持续旋转
681,22.667,运维管理,透视,模型重组后持续旋转
682,22.700,运维管理,透视,模型重组后持续旋转
683,22.733,运维管理,透视,模型重组后持续旋转
684,22.767,运维管理,透视,模型重组后持续旋转
685,22.800,运维管理,透视,模型重组后持续旋转
686,22.833,运维管理,透视,模型重组后持续旋转
687,22.867,运维管理,透视,模型重组后持续旋转
688,22.900,运维管理,透视,模型重组后持续旋转
689,22.933,运维管理,透视,模型重组后持续旋转
690,22.967,运维管理,透视,模型重组后持续旋转
691,23.000,运维管理,透视,模型重组后持续旋转
692,23.033,运维管理,透视,模型重组后持续旋转
693,23.067,运维管理,透视,模型重组后持续旋转
694,23.100,运维管理,透视,模型重组后持续旋转
695,23.133,运维管理,透视,模型重组后持续旋转
696,23.167,运维管理,透视,模型重组后持续旋转
697,23.200,运维管理,透视,模型重组后持续旋转
698,23.233,运维管理,透视,模型重组后持续旋转
699,23.267,运维管理,透视,模型重组后持续旋转
700,23.300,运维管理,透视,模型重组后持续旋转
701,23.333,运维管理,透视,模型重组后持续旋转
702,23.367,运维管理,透视,模型重组后持续旋转
703,23.400,运维管理,透视,模型重组后持续旋转
704,23.433,运维管理,透视,模型重组后持续旋转
705,23.467,运维管理,透视,模型重组后持续旋转
706,23.500,运维管理,透视,模型重组后持续旋转
707,23.533,运维管理,透视,模型重组后持续旋转
